Date,Open,High,Low,Close,Adj Close,Volume
21/3/2023,218.22,222.08,218.07,219.83,213.19,2006800
20/3/2023,219.99,221.28,215.48,216.24,209.71,3336400
17/3/2023,226.05,226.05,218.52,220.31,213.66,12660500
16/3/2023,196.29,205.1,195.34,204.05,197.89,5068500
15/3/2023,194,195.32,190.83,195.3,189.4,2674300
14/3/2023,200,201.94,195.54,197.89,191.92,2582700
13/3/2023,196.97,199.37,194.05,197.39,191.43,2267900
10/3/2023,207.19,207.19,198.5,201.19,195.12,2537900
9/3/2023,211.08,213.31,207.3,207.83,200.44,1954600
8/3/2023,205.9,209.97,205.39,209.54,202.09,1073900
7/3/2023,209.72,209.72,206.16,206.32,198.98,1526900
6/3/2023,209.6,211.89,209.35,210.13,202.66,2148000
3/3/2023,208.46,210.1,207.13,209.08,201.65,1612300
2/3/2023,203.32,207.62,202.58,206.93,199.57,1092500
1/3/2023,203.25,206.57,202.58,204.33,197.06,1179800
28/2/2023,204.04,206.74,203.08,203.22,195.99,1464100
27/2/2023,206.04,208.1,203.75,204.06,196.8,1324200
24/2/2023,203.24,204.14,200.64,203.28,196.05,1387600
23/2/2023,204.82,205.57,202.56,205.18,197.88,1345000
22/2/2023,205.65,207.18,199.59,202.83,195.62,2388900
21/2/2023,206.68,207.99,203.1,205.65,198.34,1715900
17/2/2023,210.38,211.85,209.24,210.3,202.82,993300
16/2/2023,209.52,212.76,209,211.67,204.14,1278500
15/2/2023,211.39,213.13,210,213.04,205.46,953100
14/2/2023,210.34,213.02,208.6,212.67,205.11,1101900
13/2/2023,207.61,211.91,207.25,211.66,204.13,1159500
10/2/2023,206.39,210.33,206.11,209.37,201.93,1286700
9/2/2023,210.1,211,207.87,208.62,201.2,1245400
8/2/2023,209.24,210.96,208.25,209.48,202.03,1425900
7/2/2023,209.71,210.64,205.94,209.91,202.45,1822300
6/2/2023,213,214.47,209.19,210.59,203.1,1890000
3/2/2023,212.24,215.94,211.42,214.67,207.04,2255100
2/2/2023,209.28,217.39,209.28,214.5,206.87,3836500
1/2/2023,193.1,204.06,192.56,202.11,194.92,5262100
31/1/2023,184.5,193.95,184.39,193.86,186.97,2423200
30/1/2023,188.05,188.55,183.59,184.08,177.53,2091600
27/1/2023,189.79,193.17,189.61,190.56,183.78,1435900
26/1/2023,188.9,190.31,186.8,190.14,183.38,1045800
25/1/2023,186.71,188.32,185.85,187.81,181.13,1020400
24/1/2023,188.98,192.15,188.78,189.25,182.52,1238900
23/1/2023,187.2,192.29,186.31,191.15,184.35,1642200
20/1/2023,185.18,186.98,184.22,186.88,180.24,1595900
19/1/2023,185.94,186.86,183.64,184.23,177.68,1321200
18/1/2023,188.22,191.71,187.52,187.67,181,1337800
17/1/2023,187.96,188.5,186.05,188.13,181.44,1853500
13/1/2023,190.45,191,188.21,188.63,181.92,1343800
12/1/2023,192.13,193.14,190.45,191.89,185.07,1560600
11/1/2023,189.99,193.91,189.99,192.2,185.37,1913000
10/1/2023,188.64,189.92,186.5,188.74,182.03,1694400
9/1/2023,185.78,192.14,185.69,189.74,182.99,2894300
6/1/2023,182.37,186.46,180.88,185.77,179.16,2039400
5/1/2023,179.65,181.88,178.34,181.28,174.83,2441600
4/1/2023,179,183.05,178.97,181.45,175,2286000
3/1/2023,174.97,177.59,174.53,177.27,170.97,2193900
30/12/2022,173.93,175.16,171.55,173.2,167.04,1558300
29/12/2022,173.84,176.87,173.61,175.55,169.31,1362900
28/12/2022,177.14,177.61,173.02,173.05,166.9,1705200
27/12/2022,175.72,177.99,175.1,177.05,170.75,1936600
